https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1704409200000,2024-01-04 23:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704405600000,2024-01-04 22:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704402000000,2024-01-04 21:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704398400000,2024-01-04 20:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704394800000,2024-01-04 19:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704391200000,2024-01-04 18:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704387600000,2024-01-04 17:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704384000000,2024-01-04 16:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704380400000,2024-01-04 15:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704376800000,2024-01-04 14:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704373200000,2024-01-04 13:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704369600000,2024-01-04 12:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704366000000,2024-01-04 11:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704362400000,2024-01-04 10:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704358800000,2024-01-04 09:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
1704355200000,2024-01-04 08:00:00,BNT/USDT,0.5878,0.5878,0.5878,0.5878,0,0,0,0,0,0.5878
