https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDP,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1594872000000,2020-07-16 04:00:00,USDP/USDT,1.00098019,1.00098019,1.00080016,1.00080016,0,0,0,0,0,0
1594868400000,2020-07-16 03:00:00,USDP/USDT,1.00098019,1.00098019,1.00080016,1.00080016,0,0,0,0,0,0
1594864800000,2020-07-16 02:00:00,USDP/USDT,1.00098019,1.00098019,1.00080016,1.00080016,36.35298895,36.32086602,0,0,0,0
1594861200000,2020-07-16 01:00:00,USDP/USDT,1.00082302,1.00117977,1.00082302,1.00117977,0,0,0,0,0,0
1594857600000,2020-07-16 00:00:00,USDP/USDT,1.00082302,1.00117977,1.00082302,1.00117977,0,0,0,0,0,0
1594854000000,2020-07-15 23:00:00,USDP/USDT,1.00082302,1.00117977,1.00082302,1.00117977,0,0,0,0,0,0
1594850400000,2020-07-15 22:00:00,USDP/USDT,1.00082302,1.00117977,1.00082302,1.00117977,0,0,0,0,0,0
1594846800000,2020-07-15 21:00:00,USDP/USDT,1.00082302,1.00117977,1.00082302,1.00117977,0,0,0,0,0,0
1594843200000,2020-07-15 20:00:00,USDP/USDT,1.00049991,1.00117977,1.00049991,1.00117977,130.2420992,130.12670932,0,0,0,0
1594839600000,2020-07-15 19:00:00,USDP/USDT,1.00049991,1.0010398,1.00049991,1.0010398,100.93011314,100.85485169,0,0,0,0
1594836000000,2020-07-15 18:00:00,USDP/USDT,1.00049991,1.00049991,1.00049991,1.00049991,0,0,0,0,0,0
1594832400000,2020-07-15 17:00:00,USDP/USDT,1.00049991,1.00049991,1.00049991,1.00049991,0,0,0,0,0,0
1594828800000,2020-07-15 16:00:00,USDP/USDT,1.00049991,1.00049991,1.00049991,1.00049991,0,0,0,0,0,0
1594825200000,2020-07-15 15:00:00,USDP/USDT,1.00049991,1.00049991,1.00049991,1.00049991,0,0,0,0,0,0
1594821600000,2020-07-15 14:00:00,USDP/USDT,1.00030989,1.00049991,1.00030989,1.00049991,1.04869067,1.04816669,0,0,0,0
1594818000000,2020-07-15 13:00:00,USDP/USDT,1.00030989,1.00047991,1.00030989,1.00047991,36.36359191,36.34992262,0,0,0,0
1594814400000,2020-07-15 12:00:00,USDP/USDT,1.00029995,1.00029995,1.00029995,1.00029995,0,0,0,0,0,0
1594810800000,2020-07-15 11:00:00,USDP/USDT,1.00029995,1.00029995,1.00029995,1.00029995,0,0,0,0,0,0
1594807200000,2020-07-15 10:00:00,USDP/USDT,1.00020004,1.00029995,1.00010002,1.00029995,4.68690304,4.68549763,0,0,0,0
1594803600000,2020-07-15 09:00:00,USDP/USDT,1.00020004,1.00020004,1.00010002,1.00010002,0,0,0,0,0,0
1594800000000,2020-07-15 08:00:00,USDP/USDT,1.00020004,1.00020004,1.00010002,1.00010002,0,0,0,0,0,0
1594796400000,2020-07-15 07:00:00,USDP/USDT,1.00020004,1.00020004,1.00010002,1.00010002,0,0,0,0,0,0
1594792800000,2020-07-15 06:00:00,USDP/USDT,1.00020004,1.00020004,1.00010002,1.00010002,27.86384178,27.85989805,0,0,0,0
1594789200000,2020-07-15 05:00:00,USDP/USDT,1.00127975,1.00127975,1.00022004,1.00022004,161.53693632,161.43170169,0,0,0,0
1594785600000,2020-07-15 04:00:00,USDP/USDT,1.00127975,1.00127975,1.00127975,1.00127975,0,0,0,0,0,0
1594782000000,2020-07-15 03:00:00,USDP/USDT,1.00127975,1.00127975,1.00127975,1.00127975,0,0,0,0,0,0
1594778400000,2020-07-15 02:00:00,USDP/USDT,1.00127975,1.00127975,1.00127975,1.00127975,0,0,0,0,0,0
1594774800000,2020-07-15 01:00:00,USDP/USDT,1.00127975,1.00127975,1.00127975,1.00127975,4.97499999,4.96864138,0,0,0,0
1594771200000,2020-07-15 00:00:00,USDP/USDT,1.00124024,1.00124024,1.00108021,1.00120843,0,0,0,0,0,0
1594767600000,2020-07-14 23:00:00,USDP/USDT,1.00124024,1.00124024,1.00108021,1.00120843,0,0,0,0,0,0
1594764000000,2020-07-14 22:00:00,USDP/USDT,1.00124024,1.00124024,1.00108021,1.00120843,0,0,0,0,0,0
1594760400000,2020-07-14 21:00:00,USDP/USDT,1.00124024,1.00124024,1.00108021,1.00120843,0,0,0,0,0,0
