https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ACM,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1709870400000,2024-03-08 04:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709866800000,2024-03-08 03:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709863200000,2024-03-08 02:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709859600000,2024-03-08 01:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709856000000,2024-03-08 00:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709852400000,2024-03-07 23:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709848800000,2024-03-07 22:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709845200000,2024-03-07 21:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709841600000,2024-03-07 20:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709838000000,2024-03-07 19:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709834400000,2024-03-07 18:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709830800000,2024-03-07 17:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709827200000,2024-03-07 16:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709823600000,2024-03-07 15:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709820000000,2024-03-07 14:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709816400000,2024-03-07 13:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709812800000,2024-03-07 12:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709809200000,2024-03-07 11:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709805600000,2024-03-07 10:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709802000000,2024-03-07 09:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709798400000,2024-03-07 08:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709794800000,2024-03-07 07:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709791200000,2024-03-07 06:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709787600000,2024-03-07 05:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709784000000,2024-03-07 04:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709780400000,2024-03-07 03:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709776800000,2024-03-07 02:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709773200000,2024-03-07 01:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709769600000,2024-03-07 00:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709766000000,2024-03-06 23:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709762400000,2024-03-06 22:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709758800000,2024-03-06 21:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709755200000,2024-03-06 20:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709751600000,2024-03-06 19:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709748000000,2024-03-06 18:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709744400000,2024-03-06 17:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709740800000,2024-03-06 16:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709737200000,2024-03-06 15:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709733600000,2024-03-06 14:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709730000000,2024-03-06 13:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709726400000,2024-03-06 12:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709722800000,2024-03-06 11:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709719200000,2024-03-06 10:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709715600000,2024-03-06 09:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709712000000,2024-03-06 08:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709708400000,2024-03-06 07:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709704800000,2024-03-06 06:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709701200000,2024-03-06 05:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709697600000,2024-03-06 04:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709694000000,2024-03-06 03:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709690400000,2024-03-06 02:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709686800000,2024-03-06 01:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709683200000,2024-03-06 00:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709679600000,2024-03-05 23:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709676000000,2024-03-05 22:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709672400000,2024-03-05 21:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709668800000,2024-03-05 20:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709665200000,2024-03-05 19:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709661600000,2024-03-05 18:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709658000000,2024-03-05 17:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709654400000,2024-03-05 16:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709650800000,2024-03-05 15:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709647200000,2024-03-05 14:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709643600000,2024-03-05 13:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709640000000,2024-03-05 12:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
1709636400000,2024-03-05 11:00:00,ACM/USDD,3.5,3.5,3.5,3.5,0,0,0,0,0,3.4999
