https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1666828800000,2022-10-27 00:00:00,ADA/USDT,0.40253,0.41239,0.40243,0.41186,39466.232710815,97159.6691,19004.052380181,46766.4431,299,0.406206518454284271
1666825200000,2022-10-26 23:00:00,ADA/USDT,0.40342,0.40497,0.40272,0.40304,53527.596977332,132564.8655,41230.446138889,102112.4782,304,0.403784690533813159
1666821600000,2022-10-26 22:00:00,ADA/USDT,0.40472,0.40533,0.40237,0.4035,21879.748458691,54150.0222,9886.703123251,24459.2333,266,0.404059425386184277
1666818000000,2022-10-26 21:00:00,ADA/USDT,0.4031,0.40511,0.40301,0.40473,24432.500629412,60416.2266,13927.77693902,34448.2278,234,0.404403750138950751
1666814400000,2022-10-26 20:00:00,ADA/USDT,0.4031,0.40454,0.40137,0.40316,32622.346474149,80962.6748,13872.569971292,34459.243,250,0.402932616764854846
1666810800000,2022-10-26 19:00:00,ADA/USDT,0.40108,0.4037,0.40108,0.40275,21427.702658331,53213.2607,11247.770636709,27936.0375,237,0.402676787410317652
1666807200000,2022-10-26 18:00:00,ADA/USDT,0.40481,0.40592,0.40016,0.40115,47033.49447904,116768.3412,13315.563066664,32977.917,272,0.402799990872701984
1666803600000,2022-10-26 17:00:00,ADA/USDT,0.40376,0.40509,0.4013,0.40489,20035.201789155,49634.1448,10870.011339837,26928.3223,226,0.403659941496543867
1666800000000,2022-10-26 16:00:00,ADA/USDT,0.40727,0.40887,0.40353,0.40376,68635.13669818,168932.5328,31638.214215608,77923.7871,297,0.406289581219214964
1666796400000,2022-10-26 15:00:00,ADA/USDT,0.4043,0.41175,0.40375,0.40746,26584.679653198,65389.0495,15904.819498996,39113.6398,272,0.406567344911913342
1666792800000,2022-10-26 14:00:00,ADA/USDT,0.4013,0.40945,0.4013,0.40388,20248.92249081,50041.4954,9815.911127594,24247.4959,239,0.404652433217200335
1666789200000,2022-10-26 13:00:00,ADA/USDT,0.4019,0.40317,0.39855,0.40056,17433.716538072,43515.7887,9243.237333651,23068.5598,246,0.400631852912644086
1666785600000,2022-10-26 12:00:00,ADA/USDT,0.40496,0.40511,0.40013,0.40193,23471.228653174,58477.6996,12179.320918479,30346.7587,240,0.401372121807646348
1666782000000,2022-10-26 11:00:00,ADA/USDT,0.40732,0.41006,0.40459,0.40515,25226.906083011,62009.1205,11175.305929548,27470.7073,261,0.406828422417433733
1666778400000,2022-10-26 10:00:00,ADA/USDT,0.40513,0.40831,0.40263,0.40731,30132.513646097,74256.6163,18927.256088531,46632.0906,214,0.40579187787585832
1666774800000,2022-10-26 09:00:00,ADA/USDT,0.40549,0.40682,0.40394,0.40527,24870.513986113,61382.1434,14688.923196214,36261.5476,224,0.405175930149240222
1666771200000,2022-10-26 08:00:00,ADA/USDT,0.40028,0.40755,0.39954,0.4058,42430.051513597,105526.5559,8785.298280833,21801.2691,237,0.402084301054728487
1666767600000,2022-10-26 07:00:00,ADA/USDT,0.40594,0.40645,0.39852,0.40064,15157.529172876,37550.9937,3767.982608158,9323.6391,144,0.403660508566576588
1666764000000,2022-10-26 06:00:00,ADA/USDT,0.40429,0.40843,0.40429,0.40595,12002.224035911,29581.2514,6400.178427112,15774.5939,107,0.405739327991313374
1666760400000,2022-10-26 05:00:00,ADA/USDT,0.40043,0.40424,0.40043,0.40424,7285.839695469,18092.5987,6089.285109489,15120.6646,61,0.402698130303329986
1666756800000,2022-10-26 04:00:00,ADA/USDT,0.39889,0.40118,0.39869,0.40023,17738.334753335,44362.7937,14539.173692947,36348.3516,63,0.399847635839267488
1666753200000,2022-10-26 03:00:00,ADA/USDT,0.39842,0.40039,0.39783,0.3989,12459.099058609,31235.5023,10759.016677836,26975.6956,47,0.398876766205602842
1666749600000,2022-10-26 02:00:00,ADA/USDT,0.39841,0.40032,0.39747,0.39841,7406.463070477,18574.703,4539.782874191,11389.8638,47,0.398740545526247961
1666746000000,2022-10-26 01:00:00,ADA/USDT,0.39988,0.39988,0.39488,0.39799,3487.548265132,8790.8534,1715.005356757,4322.4343,38,0.396728837309778977
1666742400000,2022-10-26 00:00:00,ADA/USDT,0.39991,0.40339,0.3988,0.39904,10349.224999364,25844.708,1659.77418692,4136.0082,50,0.400440557172792885
1666738800000,2022-10-25 23:00:00,ADA/USDT,0.40448,0.40448,0.40024,0.40024,3576.299404904,8871.8557,1876.946843789,4651.4215,24,0.403107870994911771
1666735200000,2022-10-25 22:00:00,ADA/USDT,0.40999,0.41005,0.40201,0.40393,14070.835562564,34702.6411,4583.708143736,11323.64,79,0.405481065145813009
1666731600000,2022-10-25 21:00:00,ADA/USDT,0.40766,0.41149,0.40554,0.41105,17688.489187344,43493.3569,5047.462296933,12396.0725,140,0.406699097839493867
1666728000000,2022-10-25 20:00:00,ADA/USDT,0.41377,0.41517,0.40274,0.40742,24264.694350439,59522.0796,10614.75980643,25957.2992,216,0.407690676043627856
1666724400000,2022-10-25 19:00:00,ADA/USDT,0.40827,0.41559,0.40827,0.41363,33430.429811784,81226.4867,20340.571644685,49396.1124,254,0.411578409790977608
1666720800000,2022-10-25 18:00:00,ADA/USDT,0.41048,0.41663,0.40842,0.40863,27507.523551505,66890.5999,12146.134909083,29532.3378,265,0.411240795587823838
1666717200000,2022-10-25 17:00:00,ADA/USDT,0.38766,0.41329,0.38766,0.4106,52644.242816515,131010.2385,39843.252452777,99082.4987,333,0.40197038816906116
1666713600000,2022-10-25 16:00:00,ADA/USDT,0.3742,0.38885,0.37401,0.38819,25504.774836111,67069.9393,11627.75741023,30613.327,263,0.380308743233156805
1666710000000,2022-10-25 15:00:00,ADA/USDT,0.37124,0.3757,0.37088,0.3733,8928.607295628,23970.5782,5176.095058869,13900.9057,178,0.372486199986179616
1666706400000,2022-10-25 14:00:00,ADA/USDT,0.367,0.37127,0.367,0.37127,18197.747282889,49281.102,10592.764695876,28676.1465,209,0.369266599655780673
1666702800000,2022-10-25 13:00:00,ADA/USDT,0.36345,0.36881,0.36291,0.36694,10623.855338494,29075.6652,6823.787476509,18686.0478,170,0.365397847694164047
1666699200000,2022-10-25 12:00:00,ADA/USDT,0.36092,0.36368,0.36079,0.36358,25186.452933618,69659.9878,15207.373011625,42055.7755,175,0.36156377000852066
1666695600000,2022-10-25 11:00:00,ADA/USDT,0.36036,0.36166,0.36,0.36098,17258.0657071,47821.3136,9733.03559237,26967.9751,172,0.360887073917962389
1666692000000,2022-10-25 10:00:00,ADA/USDT,0.35769,0.36036,0.35706,0.36035,14994.817297218,41726.6058,8459.261425679,23537.359,160,0.359360891531729556
1666688400000,2022-10-25 09:00:00,ADA/USDT,0.35849,0.3593,0.35712,0.3579,15647.84937661,43686.3057,5233.018466396,14606.6797,171,0.35818702119979199
1666684800000,2022-10-25 08:00:00,ADA/USDT,0.3599,0.36101,0.35849,0.3586,32053.485188238,88987.2046,11587.639591755,32161.5711,217,0.360204003583749818
1666681200000,2022-10-25 07:00:00,ADA/USDT,0.3605,0.36075,0.35904,0.35994,19220.102967951,53438.208,10268.475285786,28550.5057,164,0.35967006819009764
1666677600000,2022-10-25 06:00:00,ADA/USDT,0.36208,0.36247,0.36048,0.36055,24469.449896525,67717.8919,11975.655694334,33139.829,240,0.361344640081325404
1666674000000,2022-10-25 05:00:00,ADA/USDT,0.36111,0.36222,0.36025,0.36207,26474.500209219,73256.3522,11052.520306732,30591.2505,273,0.361396187845081417
1666670400000,2022-10-25 04:00:00,ADA/USDT,0.36182,0.36271,0.36107,0.36117,26516.403254058,73222.7329,13875.730871547,38317.6876,255,0.362133663179583309
1666666800000,2022-10-25 03:00:00,ADA/USDT,0.36169,0.36271,0.36103,0.36181,34709.754555906,95937.9431,13767.983399878,38055.0065,282,0.361794168511732683
1666663200000,2022-10-25 02:00:00,ADA/USDT,0.36222,0.36225,0.36105,0.36174,27549.877179587,76182.1781,13004.473404603,35962.0407,252,0.361631803103909368
1666659600000,2022-10-25 01:00:00,ADA/USDT,0.35877,0.36287,0.35877,0.36222,23271.20366837,64485.4583,13390.23629062,37109.4712,246,0.360879180245559604
1666656000000,2022-10-25 00:00:00,ADA/USDT,0.35738,0.3613,0.35738,0.35899,34972.717398748,97261.0559,11893.939299658,33084.1821,245,0.35957700719804379
1666652400000,2022-10-24 23:00:00,ADA/USDT,0.36032,0.36063,0.35714,0.35734,37488.927038142,104589.0506,18390.754828303,51308.6921,230,0.358442619742970984
1666648800000,2022-10-24 22:00:00,ADA/USDT,0.35916,0.36031,0.35788,0.36031,19619.135551012,54651.7181,10017.070001927,27903.5202,237,0.358985910178339826
1666645200000,2022-10-24 21:00:00,ADA/USDT,0.36089,0.36135,0.35769,0.35911,14577.107674408,40550.6098,6755.578737581,18789.7798,210,0.35948296072313699
1666641600000,2022-10-24 20:00:00,ADA/USDT,0.36028,0.36149,0.36012,0.36068,11060.730801141,30645.7429,5463.754609396,15139.3978,159,0.360922680455306406
1666638000000,2022-10-24 19:00:00,ADA/USDT,0.36062,0.36196,0.3602,0.3603,17217.7505465,47650.7291,8989.703326225,24882.5311,191,0.361333008276257572
1666634400000,2022-10-24 18:00:00,ADA/USDT,0.35803,0.36128,0.35803,0.36068,10591.058539651,29455.2978,5127.962122998,14258.1811,190,0.359565805345652907
1666630800000,2022-10-24 17:00:00,ADA/USDT,0.35742,0.3588,0.35656,0.35803,25379.890767174,71016.5729,11884.331576016,33252.2254,234,0.357380769701269541
1666627200000,2022-10-24 16:00:00,ADA/USDT,0.35781,0.3595,0.35704,0.35774,17131.077499041,47832.936,9216.864143824,25736.8282,229,0.358145103786980503
1666623600000,2022-10-24 15:00:00,ADA/USDT,0.35723,0.35805,0.35599,0.35785,14438.289297802,40434.2152,7310.198052319,20468.4003,224,0.357081470203814894
1666620000000,2022-10-24 14:00:00,ADA/USDT,0.35989,0.35989,0.35355,0.3573,27035.307985728,75983.0562,11872.99689382,33379.4921,238,0.355811565105376413
1666616400000,2022-10-24 13:00:00,ADA/USDT,0.36136,0.36136,0.35841,0.35989,27754.315872047,77160.1882,8477.657479028,23545.1045,228,0.359698940963264454
1666612800000,2022-10-24 12:00:00,ADA/USDT,0.36347,0.36401,0.36011,0.36142,26403.937903553,72957.1586,13983.57893616,38655.6965,254,0.361914497772897938
1666609200000,2022-10-24 11:00:00,ADA/USDT,0.36504,0.36505,0.36252,0.36372,17308.849770417,47585.8857,9023.735760971,24807.1382,231,0.363739854008312332
1666605600000,2022-10-24 10:00:00,ADA/USDT,0.36113,0.36507,0.36111,0.36507,19450.85041093,53579.4284,7369.770770702,20308.6513,253,0.363030522503614836
1666602000000,2022-10-24 09:00:00,ADA/USDT,0.36052,0.36175,0.35952,0.36123,19942.887124446,55339.4589,9036.69106452,25067.6807,257,0.36037446838865965
1666598400000,2022-10-24 08:00:00,ADA/USDT,0.35862,0.36125,0.35856,0.36062,18424.876032572,51200.8284,9634.73547327,26779.6909,230,0.359856636155801152
1666594800000,2022-10-24 07:00:00,ADA/USDT,0.35862,0.36097,0.3572,0.35856,50393.065428142,140287.3084,32989.81743823,91802.0126,224,0.359215072244772933
1666591200000,2022-10-24 06:00:00,ADA/USDT,0.35739,0.3619,0.35738,0.35868,39893.40555561,111076.7829,19154.494564584,53351.7118,299,0.359154616640147551
